CODMUNRES,ANO,BAIXO_PESO,TOTAL
110000,2012,0,2
110000,2013,1,16
110000,2014,0,4
110000,2015,0,4
110000,2016,0,2
110000,2018,1,2
110000,2019,0,1
110001,2012,7,378
110001,2013,15,375
110001,2014,21,332
110001,2015,17,362
110001,2016,17,319
110001,2017,20,347
110001,2018,22,400
110001,2019,21,359
110002,2012,81,1297
110002,2013,102,1611
110002,2014,104,1627
110002,2015,101,1762
110002,2016,104,1630
110002,2017,110,1699
110002,2018,88,1646
110002,2019,85,1704
110003,2012,4,64
110003,2013,5,74
110003,2014,7,75
110003,2015,1,84
110003,2016,3,69
110003,2017,3,63
110003,2018,5,80
110003,2019,2,80
110004,2012,66,1175
110004,2013,67,1170
110004,2014,93,1279
110004,2015,86,1332
110004,2016,65,1318
110004,2017,84,1426
110004,2018,68,1420
110004,2019,67,1363
110005,2012,9,239
110005,2013,9,268
110005,2014,15,249
110005,2015,14,267
110005,2016,14,256
110005,2017,18,268
110005,2018,17,259
110005,2019,25,234
110006,2012,13,212
110006,2013,15,251
110006,2014,14,262
110006,2015,15,246
110006,2016,12,219
110006,2017,12,243
110006,2018,18,227
110006,2019,15,204
110007,2012,7,114
110007,2013,7,114
110007,2014,4,121
110007,2015,5,111
110007,2016,5,135
110007,2017,7,86
110007,2018,6,128
110007,2019,4,127
110008,2012,5,233
110008,2013,12,231
110008,2014,17,261
110008,2015,16,242
110008,2016,14,210
110008,2017,9,211
110008,2018,14,242
110008,2019,12,229
110009,2012,24,467
110009,2013,22,458
110009,2014,24,488
110009,2015,27,547
110009,2016,38,478
110009,2017,16,524
110009,2018,18,474
110009,2019,24,442
110010,2012,57,923
110010,2013,58,876
110010,2014,48,913
110010,2015,44,817
110010,2016,56,874
110010,2017,47,829
110010,2018,46,918
110010,2019,42,773
110011,2012,48,793
110011,2013,59,897
110011,2014,43,855
110011,2015,36,771
110011,2016,41,793
110011,2017,52,828
110011,2018,56,894
110011,2019,43,864
110012,2012,111,2052
110012,2013,101,1934
110012,2014,108,1919
110012,2015,127,2057
110012,2016,96,1936
110012,2017,110,2019
110012,2018,143,2218
110012,2019,130,2159
110013,2012,37,512
110013,2013,21,502
110013,2014,31,500
110013,2015,31,473
110013,2016,28,389
110013,2017,29,435
110013,2018,31,499
110013,2019,38,489
110014,2012,17,262
110014,2013,14,274
110014,2014,12,252
110014,2015,12,252
110014,2016,6,276
110014,2017,11,221
110014,2018,13,274
110014,2019,16,257
110015,2012,32,641
110015,2013,38,637
110015,2014,44,660
110015,2015,29,748
110015,2016,31,572
110015,2017,32,567
110015,2018,41,608
110015,2019,33,614
110018,2012,24,542
110018,2013,27,570
110018,2014,27,582
110018,2015,29,583
110018,2016,37,595
110018,2017,35,598
110018,2018,32,643
110018,2019,28,611
110020,2012,538,8739
110020,2013,532,8746
110020,2014,554,8952
110020,2015,577,8886
110020,2016,572,8433
110020,2017,538,8662
110020,2018,547,8552
110020,2019,575,8208
110025,2012,12,238
110025,2013,12,249
110025,2014,7,283
110025,2015,19,257
110025,2016,14,269
110025,2017,22,276
110025,2018,22,293
110025,2019,28,302
110026,2012,3,41
110026,2013,1,38
110026,2014,2,34
110026,2015,4,36
110026,2016,1,35
110026,2017,1,49
110026,2018,3,46
110026,2019,7,48
110028,2012,69,902
110028,2013,48,869
110028,2014,40,934
110028,2015,48,924
110028,2016,59,845
110028,2017,46,950
110028,2018,51,880
110028,2019,38,896
110029,2012,3,118
110029,2013,6,97
110029,2014,0,101
110029,2015,8,107
110029,2016,6,110
110029,2017,8,111
110029,2018,5,103
110029,2019,7,99
110030,2012,79,1228
110030,2013,82,1374
110030,2014,87,1402
110030,2015,95,1503
110030,2016,99,1404
110030,2017,79,1427
110030,2018,87,1526
110030,2019,103,1549
110032,2012,14,309
110032,2013,15,348
110032,2014,15,354
110032,2015,15,305
110032,2016,19,335
110032,2017,20,366
110032,2018,26,384
110032,2019,12,345
110033,2012,23,377
110033,2013,16,408
110033,2014,23,418
110033,2015,24,403
110033,2016,18,404
110033,2017,25,477
110033,2018,29,474
110033,2019,23,422
110034,2012,9,185
110034,2013,19,217
110034,2014,8,177
110034,2015,12,200
110034,2016,8,166
110034,2017,17,178
110034,2018,6,156
110034,2019,14,202
110037,2012,6,186
110037,2013,8,159
110037,2014,5,168
110037,2015,6,148
110037,2016,9,164
110037,2017,10,168
110037,2018,6,156
110037,2019,10,152
110040,2012,14,191
110040,2013,15,203
110040,2014,14,246
110040,2015,8,245
110040,2016,8,220
110040,2017,12,236
110040,2018,12,214
110040,2019,12,224
110045,2012,32,548
110045,2013,28,587
110045,2014,32,603
110045,2015,32,599
110045,2016,30,615
110045,2017,48,623
110045,2018,41,606
110045,2019,30,562
110050,2012,8,125
110050,2013,6,118
110050,2014,7,91
110050,2015,5,108
110050,2016,4,93
110050,2017,3,85
110050,2018,6,111
110050,2019,6,98
110060,2012,5,61
110060,2013,1,59
110060,2014,5,56
110060,2015,4,71
110060,2016,2,65
110060,2017,4,69
110060,2018,7,80
110060,2019,3,71
110070,2012,5,160
110070,2013,8,181
110070,2014,11,177
110070,2015,6,155
110070,2016,12,162
110070,2017,12,167
110070,2018,11,188
110070,2019,6,160
110080,2012,35,423
110080,2013,26,394
110080,2014,15,293
110080,2015,27,317
110080,2016,20,368
110080,2017,22,389
110080,2018,25,412
110080,2019,13,327
110090,2012,2,51
110090,2013,3,36
110090,2014,1,44
110090,2015,2,52
110090,2016,2,51
110090,2017,3,38
110090,2018,3,55
110090,2019,2,32
110092,2012,8,107
110092,2013,9,154
110092,2014,6,156
110092,2015,10,154
110092,2016,9,151
110092,2017,7,164
110092,2018,7,178
110092,2019,6,162
110094,2012,6,150
110094,2013,10,195
110094,2014,19,231
110094,2015,14,270
110094,2016,20,235
110094,2017,12,205
110094,2018,13,228
110094,2019,4,200
110100,2012,5,131
110100,2013,9,112
110100,2014,9,119
110100,2015,4,128
110100,2016,7,112
110100,2017,6,107
