populacao,municipio
23167,1100015
106168,1100023
5438,1100031
84813,1100049
16444,1100056
16227,1100064
7567,1100072
17855,1100080
32047,1100098
45783,1100106
51933,1100114
127907,1100122
39097,1100130
20459,1100148
36340,1100155
36434,1100189
519531,1100205
19409,1100254
3723,1100262
54702,1100288
6781,1100296
97448,1100304
22931,1100320
29757,1100338
14722,1100346
13227,1100379
20999,1100403
38937,1100452
8751,1100502
6190,1100601
14009,1100700
25983,1100809
3119,1100908
10886,1100924
24226,1100940
8095,1101005
10272,1101104
9762,1101203
11080,1101302
15695,1101401
7047,1101435
5947,1101450
2191,1101468
2939,1101476
5280,1101484
19842,1101492
11860,1101500
4384,1101559
10494,1101609
11665,1101708
11028,1101757
6998,1101807
15020,1200013
7300,1200054
25848,1200104
10111,1200138
11456,1200179
87673,1200203
18122,1200252
34675,1200302
8159,1200328
18638,1200336
9336,1200344
18430,1200351
19565,1200385
11720,1200393
401155,1200401
18504,1200427
6362,1200435
22810,1200450
45177,1200500
41976,1200609
19048,1200708
18180,1200807
15860,1300029
11332,1300060
13269,1300086
20538,1300102
21583,1300144
19438,1300201
38830,1300300
27364,1300409
31593,1300508
42020,1300607
19258,1300631
18781,1300680
33976,1300706
40565,1300805
12877,1300839
15450,1300904
28076,1301001
37384,1301100
29595,1301159
84272,1301209
28100,1301308
34840,1301407
19668,1301506
18221,1301605
16416,1301654
54001,1301704
28933,1301803
47571,1301852
99955,1301902
7888,1301951
9064,1302009
3265,1302108
14312,1302207
14753,1302306
45245,1302405
96236,1302504
31147 ,1302553
2145444,1302603
54907,1302702
18186,1302801
62755,1302900
20899,1303007
36721,1303106
18974,1303205
25237,1303304
113168,1303403
19329,1303502
35352,1303536
32577,1303569
24436 ,1303601
21966,1303700
44816,1303809
38515,1303908
13685,1303957
9110,1304005
64488,1304062
17299,1304104
60154,1304203
18610,1304237
13387,1304260
16383 ,1304302
22537,1304401
12394,1400027
15638,1400050
375374,1400100
12257,1400159
17868,1400175
21564,1400209
9950,1400233
11600,1400282
17528,1400308
11045,1400407
15580,1400456
29533,1400472
8052,1400506
7860,1400605
10325,1400704
156292,1500107
7382,1500131
55513,1500206
38863,1500305
27241,1500347
56480,1500404
34142,1500503
113195,1500602
28859,1500701
525566,1500800
27161,1500859
45516,1500909
30896,1500958
16371,1501006
30009,1501105
46416,1501204
3310,1501253
122294,1501303
1485732,1501402
17624,1501451
61689,1501501
16841,1501576
16038,1501600
126436,1501709
15190,1501725
7392,1501758
64738,1501782
101891,1501808
28832,1501907
33178,1501956
23466,1502004
136390,1502103
36050,1502152
68616,1502202
54179,1502301
198294,1502400
23482,1502509
12040,1502608
47734,1502707
32847,1502756
13179,1502764
18014,1502772
33893,1502806
14197,1502855
39540,1502905
58956,1502939
33674,1502954
7319,1503002
20080,1503044
26020,1503077
39857,1503093
32991,1503101
38588,1503200
62355,1503309
11559,1503408
62455,1503457
32504,1503507
101097,1503606
53182,1503705
8899 ,1503754
58457,1503804
56908,1503903
28583,1504000
29917,1504059
8523,1504109
275086,1504208
29429,1504307
28220,1504406
129321,1504422
31213,1504455
27415,1504505
30736,1504604
80988,1504703
15982,1504752
57900,1504802
39783,1504901
21291,1504950
16499,1504976
15218,1505007
25758,1505031
74602,1505064
51964,1505106
32168,1505205
72160,1505304
17721,1505403
32319,1505437
46986,1505486
7596,1505494
111764,1505502
202882,1505536
5557,1505551
8073,1505601
12983,1505635
30293,1505650
30608,1505700
61126,1505809
40458,1505908
29886,1506005
10792,1506104
13512,1506112
83997,1506138
18186,1506161
51903,1506187
49503,1506195
40424,1506203
23424,1506302
20704,1506351
9939,1506401
69746,1506500
19852,1506559
21042,1506583
24725,1506609
71187,1506708
302667,1506807
6664,1506906
31038,1507003
17970,1507102
25358,1507151
31837,1507201
124763,1507300
15833,1507409
24991,1507458
6059,1507466
22842,1507474
13940,1507508
58328,1507607
26301,1507706
5849,1507755
11839,1507805
25181,1507904
103664,1507953
11591,1507961
18619,1507979
62854,1508001
30656,1508035
18807,1508050
39059,1508084
112148,1508100
57632,1508126
45517,1508159
53191,1508209
61049,1508308
14987,1508357
44410,1508407
5306,1600055
9029,1600105
15931,1600154
10926,1600204
5864,1600212
7591,1600238
5387,1600253
49446,1600279
493634,1600303
21206,1600402
26627,1600501
21484,1600535
4993,1600550
119610,1600600
16855,1600709
15605,1600808
2564,1700251
6572,1700301
5434,1700350
7131,1700400
8427,1700707
9607,1701002
3417,1701051
4741,1701101
5786,1701309
7016,1701903
8567,1702000
177517,1702109
5663,1702158
35346,1702208
6670,1702307
10601,1702406
18178,1702554
3731,1702703
9725,1702901
10662,1703008
3512,1703057
4549,1703073
5614,1703107
4469,1703206
4779,1703305
2191,1703602
5475,1703701
11197,1703800
2266,1703826
9917,1703842
4321,1703867
2556,1703883
4059,1703891
5295,1703909
2874,1704105
1401,1704600
3334,1705102
34990,1705508
4843,1705557
4124,1705607
5536,1706001
7300,1706100
1708,1706258
6018,1706506
21850,1707009
6856,1707108
7211,1707207
4687,1707306
10851,1707405
3841,1707553
5284,1707652
8837,1707702
18482,1708205
2576,1708254
5116,1708304
12942,1709005
25677,1709302
85737,1709500
1977,1709807
7414,1710508
5896,1710706
3758,1710904
2435,1711100
3819,1711506
2202,1711803
13034,1711902
4237,1711951
3101,1712009
1892,1712157
3748,1712405
3060,1712454
5094,1712504
2638,1712702
3403,1712801
18566,1713205
13375,1713304
7827,1713601
2263,1713700
6570,1713809
3514,1713957
9239,1714203
3959,1714302
11719,1714880
4215,1715002
4287,1715101
2332,1715150
2698,1715259
1106,1715507
5919,1715705
7641,1715754
50602,1716109
10461,1716208
4831,1716307
13380,1716505
11623,1716604
5443,1716653
8270,1716703
4464,1717008
3023,1717206
7564,1717503
4601,1717800
7961,1717909
3108,1718006
52700,1718204
8365,1718303
3692,1718402
2659,1718451
4244,1718501
4604,1718550
2088,1718659
2811,1718709
6468,1718758
4627,1718808
3378,1718840
7426,1718865
3381,1718881
2344,1718899
4811,1718907
2834,1719004
2528,1720002
5256,1720101
1572,1720150
11967,1720200
3070,1720259
4757,1720309
4017,1720499
5378,1720655
9078,1720804
1946,1720853
16538,1720903
2131,1720937
2773,1720978
291855,1721000
7471,1721109
22896,1721208
1860,1721257
2613,1721307
11631,1722081
11561,1722107
111757,2100055
6469,2100105
12488,2100154
22083,2100204
26302,2100303
8066,2100402
26839,2100436
31894,2100477
11168,2100501
6918,2100550
41136,2100600
26614,2100709
15566,2100808
17063,2100832
15297,2100873
46103,2100907
32637,2100956
29764,2101004
12076,2101103
104633,2101202
16855,2101251
18508,2101301
5617,2101350
93826,2101400
18714,2101509
87794,2101608
61828,2101707
7409,2101731
11138,2101772
5627,2101806
21260,2101905
6011,2101939
9158,2101970
