CODMUNRES,ANO,AVG_PM25,MIN_PM25,MAX_PM25,BAIXO_PESO,TOTAL,OBITOS_PERINATAIS,OBITOS_NEONATAIS,OBITOS_INFANTIS,OBITOS_TOTAIS,IDH
110001,2012,11.948700416150277,0.0,97.0,7,378,0,0,5,122,0.641
110001,2013,9.981073637584613,0.0,57.20000076293945,15,375,0,0,7,112,0.641
110001,2014,12.708704596195137,0.0,102.0999984741211,21,332,0,0,2,108,0.641
110001,2015,16.542249657229018,0.0,120.0,17,362,0,0,7,145,0.641
110001,2016,14.821771996950341,0.0,282.6000061035156,17,319,0,0,5,109,0.641
110001,2017,15.952534241428317,0.0,205.39999389648438,20,347,0,0,5,137,0.641
110001,2018,15.798211834576632,0.0,140.5,22,400,0,0,3,128,0.641
110001,2019,15.459396462780212,0.0,134.1999969482422,21,359,0,1,2,140,0.641
110002,2012,19.982228318699118,0.0,338.8999938964844,81,1297,0,0,15,486,0.702
110002,2013,12.942680423878313,0.0,279.20001220703125,102,1611,0,1,18,477,0.702
110002,2014,19.48465753383424,0.0,364.29998779296875,104,1627,0,3,20,469,0.702
110002,2015,31.180616474815018,0.0,911.7000122070312,101,1762,0,1,17,511,0.702
110002,2016,23.516027431082847,0.0,899.4000244140625,104,1630,2,1,23,510,0.702
110002,2017,32.22623286865754,0.0,1082.0999755859375,110,1699,1,1,21,503,0.702
110002,2018,28.373489047359715,0.0,1232.0,88,1646,0,1,25,531,0.702
110002,2019,22.244109641903474,0.0,208.10000610351562,85,1704,1,1,16,502,0.702
110003,2012,13.753930283800756,0.0,308.1000061035156,4,64,0,0,1,21,0.65
110003,2013,11.911623120502641,0.0,273.20001220703125,5,74,1,0,0,23,0.65
110003,2014,14.76143836188194,0.0,253.0,7,75,0,0,2,24,0.65
110003,2015,22.30911586389732,0.0,390.29998779296875,1,84,0,0,3,28,0.65
110003,2016,17.04475667619742,0.0,520.5999755859375,3,69,,,,,0.65
110003,2017,23.846095910852085,0.0,1736.0,3,63,,,,,0.65
110003,2018,20.992455356732645,0.0,1015.0999755859375,5,80,0,0,1,34,0.65
110003,2019,19.733470482049082,0.0,637.0999755859375,2,80,0,0,2,41,0.65
110004,2012,11.993570436806342,0.0,88.5999984741211,66,1175,0,0,17,356,0.718
110004,2013,10.389676507800838,0.0,69.5999984741211,67,1170,0,0,18,379,0.718
110004,2014,12.935914993158468,0.0,81.0,93,1279,0,0,23,456,0.718
110004,2015,18.067215374615987,0.0,474.29998779296875,86,1332,0,0,25,440,0.718
110004,2016,14.279409759339806,0.0,125.0,65,1318,1,0,16,485,0.718
110004,2017,16.60671231056219,0.0,227.6999969482422,84,1426,1,0,13,501,0.718
110004,2018,15.802200805862144,0.0,126.69999694824219,68,1420,0,0,19,482,0.718
110004,2019,16.217146783750326,0.0,100.0999984741211,67,1363,0,0,7,491,0.718
