CODMUNRES,ANO,OBITOS_PERINATAIS,OBITOS_NEONATAIS,OBITOS_INFANTIS,OBITOS_TOTAIS
110000,2015,0,0,1,17
110001,2012,0,0,5,122
110001,2013,0,0,7,112
110001,2014,0,0,2,108
110001,2015,0,0,7,145
110001,2016,0,0,5,109
110001,2017,0,0,5,137
110001,2018,0,0,3,128
110001,2019,0,1,2,140
110002,2012,0,0,15,486
110002,2013,0,1,18,477
110002,2014,0,3,20,469
110002,2015,0,1,17,511
110002,2016,2,1,23,510
110002,2017,1,1,21,503
110002,2018,0,1,25,531
110002,2019,1,1,16,502
110003,2012,0,0,1,21
110003,2013,1,0,0,23
110003,2014,0,0,2,24
110003,2015,0,0,3,28
110003,2018,0,0,1,34
110003,2019,0,0,2,41
110004,2012,0,0,17,356
110004,2013,0,0,18,379
110004,2014,0,0,23,456
110004,2015,0,0,25,440
110004,2016,1,0,16,485
110004,2017,1,0,13,501
110004,2018,0,0,19,482
110004,2019,0,0,7,491
110005,2012,0,0,6,105
110005,2013,0,0,3,101
110005,2014,0,0,5,102
110005,2015,1,0,0,80
110005,2016,0,0,3,112
110005,2017,0,0,1,81
110005,2018,0,1,3,109
110005,2019,1,1,2,107
110006,2012,0,1,2,103
110006,2013,0,0,4,105
110006,2014,0,0,3,93
110006,2015,0,0,2,88
110006,2016,0,0,1,108
110006,2017,0,0,5,85
110006,2018,0,0,2,107
110006,2019,0,0,1,85
110007,2013,0,0,1,25
110007,2014,0,0,3,24
110007,2016,0,0,3,38
110007,2017,0,0,2,32
110007,2018,0,0,1,30
110008,2012,0,0,5,76
110008,2013,0,0,4,36
110008,2014,0,0,5,50
110008,2015,0,0,7,66
110008,2016,1,0,3,53
110008,2017,0,0,7,59
110008,2018,0,0,2,71
110008,2019,0,1,5,56
110009,2012,0,0,6,140
110009,2013,0,1,7,132
110009,2014,1,0,10,152
110009,2015,0,0,8,149
110009,2016,0,0,7,155
110009,2017,0,0,4,143
110009,2018,0,1,5,148
110009,2019,0,0,8,167
110010,2012,0,0,11,206
110010,2013,0,0,11,213
110010,2014,0,0,19,209
110010,2015,0,0,16,208
110010,2016,0,0,16,211
110010,2017,0,0,18,228
110010,2018,0,1,21,240
110010,2019,0,1,7,216
110011,2012,0,0,11,221
110011,2013,0,0,13,227
110011,2014,0,0,9,255
110011,2015,0,0,12,261
110011,2016,0,0,10,259
110011,2017,0,0,7,267
110011,2018,0,0,11,272
110011,2019,0,0,4,277
110012,2012,0,1,24,662
110012,2013,0,1,29,670
110012,2014,0,1,24,610
110012,2015,0,0,33,603
110012,2016,0,0,20,665
110012,2017,0,0,23,684
110012,2018,2,1,36,737
